id;nombre
1;Ceviche de camarón 
2;Encocada, pescado y camarón
3;Corviches
4;Arroz con camarón 
5;La TIMBUSHCA 
6;La Carne Colorada 
7;Mote Pata 
8;Fritada Cuencana
9;Arroz marinero
10;Caldo de gallina criolla 
11;Caldo de manguera
12;Encebollado ecuatoriano de pescado
13;Camarones o langostinos al ajillo
14;Receta del chaulafan mixto ecuatoriano
15;Lengua en salsa de maní
16;Seco de Chancho Ecuatoriano
17;Tallarín de pollo ecuatoriano
18;Receta del ceviche de conchas negras o prietas
19;Maito de pescado
20;Mote con chicharrón
21;Receta de Chicha de chontaduro y yuca
22;Empanadas de viento ecuatorianas
23;Cazuela de pescado
24;Quimbolitos Ecuatorianos
25;Empanadas de verde con relleno de carne
26;Tortillas de verde
27;Patacones ecuatorianos
28;Empanadas de morocho
29;Tigrillo de Zaruma
30;Yaguarlocro
31;Pan de yuca
32;Mote pillo cuencano
33;Ceviche de palmito
34;Ceviche de caracol
35;Pinchos Mayones.
36;Seco de Guanta
37;Mote con chicharrón
38;Caldo de cangrejo
